gene_symbol,retina_03,retina_04,retina_05,retina_06,retina_07,retina_08,retina_09,retina_10,retina_11,retina_12,retina_13,retina_14,retina_15,retina_16,retina_17,retina_18,retina_19,retina_20,retina_21,retina_22,retina_23
1700025G04RIK,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2610017I09RIK,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2900011O08RIK,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False
4833424O15RIK,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
4930447C04RIK,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6330403K07RIK,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
6430548M08RIK,True,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True
8430419L09RIK,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A030009H04RIK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False
A830010M20RIK,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
A830036E02RIK,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A930001A20RIK,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ABAT,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
ACOT7,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ADARB1,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
ADARB2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADCY2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AGAP1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AI593442,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
AI848285,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
