gene_symbol,retina_24,retina_25,retina_26,retina_27,retina_33,retina_34
2010107E04RIK,False,False,True,False,False,False
4930447C04RIK,False,True,False,False,False,False
A930011O12RIK,False,False,False,False,False,True
ABCA8A,False,False,False,False,False,True
ABLIM1,False,False,True,False,False,False
ACSL3,False,False,False,False,False,True
AIPL1,True,False,True,False,False,True
ALDOC,False,False,False,False,False,True
ANK3,False,False,True,False,False,False
APLP2,False,False,True,False,True,False
APOE,False,False,False,False,False,True
APP,True,False,False,True,False,False
AQP4,False,False,False,False,False,True
ARR3,False,True,False,False,False,False
ATP1A1,False,False,False,False,False,True
ATP1B3,False,False,False,False,False,True
ATP2B1,False,False,True,False,False,False
B3GALT2,False,False,True,False,False,False
BC030499,False,False,False,True,True,False
BEX2,True,False,False,False,False,False
BSG,False,False,False,False,False,True
CABP5,False,False,True,True,False,False
CACNA2D1,False,False,False,True,False,False
CACNA2D3,False,False,True,False,False,False
CACNG4,False,False,False,False,False,True
CADPS,False,False,False,True,True,False
CALM1,True,False,True,False,False,False
CAMSAP2,False,False,True,False,False,False
CAR10,False,False,True,False,False,False
CAR14,False,False,False,False,False,True
CAR2,False,False,False,False,False,True
CAR8,False,False,True,False,False,False
CASP7,False,False,True,False,False,False
CAV1,False,False,False,False,False,True
CCDC136,False,True,True,False,False,False
CCK,False,False,False,False,True,False
CD59A,False,True,False,False,False,False
CD63,False,False,False,False,False,True
CD81,False,False,False,False,False,True
CD9,False,False,False,False,False,True
CDH2,False,False,False,False,False,True
CDKN1B,False,False,False,False,False,True
CELF4,True,False,False,False,False,False
CHGB,False,False,True,False,False,False
CLTB,False,False,True,False,False,False
CLU,False,False,False,False,False,True
CNGA1,True,False,True,False,False,True
CNGB1,True,False,False,False,False,True
CNN3,False,False,False,False,False,True
CNTN4,False,False,True,False,False,False
CNTNAP2,False,False,True,False,False,False
COL23A1,False,False,False,False,False,True
COL9A1,False,False,False,False,False,True
COX4I2,False,False,False,False,False,True
CP,False,False,False,False,False,True
CPLX3,True,False,True,False,False,False
CROT,False,False,False,False,False,True
CRX,False,False,False,False,False,True
CRYAB,False,False,False,False,False,True
CRYM,False,False,False,False,False,True
CST3,False,False,True,False,False,False
CTSL,False,False,False,False,False,True
CYR61,False,False,False,False,False,True
DAPL1,False,False,False,False,False,True
DBI,False,False,False,False,False,True
DDR1,False,False,False,False,False,True
DKK3,False,False,False,False,False,True
DNAJA1,False,False,True,False,False,False
DUSP1,False,False,False,False,False,True
E130114P18RIK,False,False,False,False,False,True
EGR1,False,False,False,False,False,True
ENO1,False,False,False,False,False,True
ENPP2,False,False,False,False,False,True
ESPN,False,False,False,False,False,True
FAM171B,False,False,False,False,True,False
FAM19A3,False,False,False,True,False,False
FAM57B,True,False,True,False,False,True
FLT1,False,False,False,False,False,True
FOS,False,False,False,False,False,True
FRMD3,False,False,False,False,True,False
FXYD1,False,False,False,False,False,True
FXYD6,False,False,False,False,False,True
GABRA1,False,False,False,False,True,False
GABRR1,False,False,True,False,False,False
GAS1,False,False,False,False,False,True
GLS,False,False,True,False,False,False
GLUL,False,False,False,False,False,True
GM4792,False,False,True,False,False,False
GNAI2,False,False,False,False,False,True
GNAO1,True,False,True,False,True,False
GNAS,True,False,False,False,False,False
GNAT1,True,False,True,True,True,True
GNAT2,False,True,False,False,False,False
GNB1,True,False,True,False,True,True
GNB3,False,True,True,False,True,False
GNG13,False,False,True,False,True,False
GNGT1,True,False,True,False,True,True
GNGT2,False,True,False,False,False,False
GPM6A,True,False,False,False,False,True
GPM6B,False,False,False,False,False,True
GPR179,False,False,True,False,True,False
GPR37,False,False,False,False,False,True
GRIK1,False,False,False,True,False,False
GRM6,False,False,True,False,True,False
GSG1,False,False,False,True,False,False
GUCA1A,False,True,False,False,False,False
GUCA1B,True,False,False,False,False,False
HES1,False,False,False,False,False,True
HMGN1,True,False,False,False,False,True
HMGN3,True,False,True,False,True,False
HSP90AA1,False,False,False,False,False,True
HSP90AB1,True,False,False,False,False,False
HSPA12A,False,False,True,False,False,False
HTRA1,False,False,False,False,False,True
ID1,False,False,False,False,False,True
ID2,False,False,False,False,False,True
ID3,False,False,False,False,False,True
IER2,False,False,False,False,False,True
IFT20,False,False,True,False,False,False
IL33,False,False,False,False,False,True
ISL1,False,False,True,False,True,False
ITM2B,True,False,False,False,False,True
ITM2C,True,False,True,False,False,False
JUN,False,False,False,False,False,True
